Function Tag	Parent	Parent Category	Counts	Example Record ID	Example Symbiont	Example Function	Example Reference	Definition	Expanded explanation
nutrient provision	None	Nutrition	45	RISB0717	Saccharomyces	Saccharomyces are important fungi for insects in terms of nutrient supply and may be involved in insect development	10.1038/s41598-022-17278-w	The symbiont contributes to the host’s nutrition by supplying, recycling, or enhancing the assimilation of essential nutrients, thereby improving host growth, survival, and reproduction.	This tag encompasses all nutritional complementation by microbial partners, including supplying carbon or nitrogen sources, aiding food digestion and absorption, or improving the bioavailability of dietary components. Symbionts may metabolize environmental or plant-derived compounds into usable nutrients, support the host during nutrient scarcity (e.g., diapause), or facilitate metabolic efficiency leading to improved body weight and development.
amino acid provision	nutrient provision	Nutrition	284	RISB0062	Candidatus Dasytiphilus stammeri Pvir	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	10.1093/ismejo/wrae080	The symbiont synthesizes, recycles, or provides essential amino acids that are deficient in the host’s diet or absent from its food source.	Common in sap-feeding, wood-feeding, or subterranean insects with nutritionally restricted diets. Such symbionts (e.g., Buchnera, Arsenophonus, Rickettsia) complement the host’s amino acid biosynthetic deficiencies, supporting protein synthesis, cuticle sclerotization, and physiological development. This function often arises through long-term coevolution and genome reduction.
vitamin supplementation	nutrient provision	Nutrition	150	RISB0874	Candidatus Schneideria nysicola isolate NT	synthesize four B vitamins(Pan, pantothenate;Fol, folate; Rib, riboflavin; Pyr, pyridoxine) and five Essential Amino Acids(Ile, isoleucine; Val, valine; Lys, lysine; Thr, threonine; Phe, phenylalanine)	10.1093/gbe/evab189	The symbiont produces or supplies essential vitamins—particularly B-group vitamins (e.g., biotin, riboflavin, pyridoxine, niacin, folate) and other cofactors—that support host metabolism, growth, and reproduction.	Vitamin supplementation refers to the symbiont-mediated biosynthesis or provisioning of vitamins that are scarce or absent in the host’s diet. These vitamins act as enzymatic cofactors in critical pathways such as amino acid synthesis, energy metabolism, and nucleic acid production. By providing micronutrients like biotin (B7), riboflavin (B2), or pyridoxine (B6), symbionts enhance host fecundity, developmental success, and overall physiological fitness. This function is especially vital in hosts with nutrient-poor or specialized diets (e.g., phloem-feeding or xylophagous insects).
nitrogen fixation	nutrient provision	Nutrition	63	RISB1637	Candidatus Dactylopiibacterium carminicum NFDCM	compensate for the nitrogen deficiency in the cochineal diet. In addition, this symbiont may provide essential amino acids, recycle uric acid, and increase the cochineal life span.	10.1093/gbe/evx156	The symbiont contributes to the host’s nitrogen economy by fixing atmospheric nitrogen, recycling nitrogenous waste, or converting inorganic and organic nitrogen compounds into bioavailable forms for the host.	Nitrogen fixation in insect symbioses encompasses multiple processes that supplement the host’s nitrogen supply. Classical nitrogen-fixing symbionts harbor nif gene clusters enabling the reduction of atmospheric N₂ to ammonia (NH₃). Others recycle nitrogenous waste (e.g., urea, uric acid) or mediate ammonium assimilation and transamination, thereby supporting amino acid biosynthesis and improving host fitness under nitrogen-poor diets. These symbionts may also influence host–plant interactions by enriching nitrogen availability or modulating plant defense gene expression related to nitrogen metabolism.
plant biomass digestion	None	Nutrition	46	RISB0361	Ogataea ramenticola	has the potential of degrading plant cell wall	10.3389/fmicb.2023.1108975	The symbiont aids in the degradation of plant biomass by producing enzymes that break down complex plant cell wall components such as cellulose, hemicellulose, lignin, and pectin, thereby facilitating host digestion and nutrient acquisition.	Plant biomass digestion refers to symbiont-mediated hydrolysis of structural polysaccharides and other macromolecules within plant tissues. Microbial partners provide cellulases, hemicellulases, pectinases, and lignin-degrading oxidases that decompose plant cell walls into absorbable sugars and oligosaccharides. This function is crucial for herbivorous or xylophagous insects (e.g., leafhoppers, beetles, termites) feeding on fibrous plant materials. The cooperative breakdown of plant biomass enhances host energy yield, supports gut symbiosis stability, and often underpins ecological adaptation to plant-based diets.
fungal farming	None	Nutrition	13	RISB1537	Fusarium euwallaceae	Caring for the fungal gardens involves cooperative behavior, and could be related to the decrease of inter- and intra-specific competition for food	10.3390/life9010002	The symbiont participates in or supports a mutualistic fungus-farming system, in which the host insect cultivates specific fungal partners as a food source or ecological resource, while managing the microbial environment to protect and sustain the fungal garden.	Fungal farming refers to a specialized mutualism in which insects (e.g., ants, beetles, termites, or ambrosia beetles) actively cultivate and depend on symbiotic fungi for nutrition, nest structure, or developmental support. The symbiotic microbes—including bacteria or actinomycetes—assist this system by producing antifungal compounds that suppress contaminating “weed” fungi or pathogens (e.g., Metarhizium robertsii, Beauveria bassiana), by supplying enzymes that aid fungal metabolism, or by contributing nutrients such as proteases and vitamins that promote fungal growth. This cooperative relationship ensures a stable and exclusive fungal crop, reduces microbial competition, and supports host development and social behavior related to fungal garden maintenance.
feeding habit alteration	None	Nutrition	8	RISB1805	Arsenophonus	plant mediation and parasitism might be involved in the dispersal of Arsenophonus. Moreover, Arsenophonus was reported to be involved in host plant specialization in the polyphagous aphid, Aphis craccivora	10.1038/srep22958	The symbiont influences the host insect’s feeding behavior, diet breadth, or host plant preference, leading to changes in feeding habits, specialization, or ecological niche utilization.	Feeding habit alteration encompasses symbiont-mediated modifications in host trophic interactions, including shifts between monophagy and polyphagy, altered host plant choice, or changes in feeding frequency and intensity. Symbionts may modulate host feeding by affecting gustatory or olfactory signaling, nutrient perception, or plant-mediated cues. In some cases, microbial partners enable adaptation to novel host plants or improve performance on suboptimal diets by facilitating digestion or detoxification. These interactions can drive ecological diversification, host range expansion, or specialization within insect lineages.
cellulose hydrolysis	plant biomass digestion	Nutrition	158	RISB0138	Rhodobacter	Rhodanobacter genera can utilize various carbon sources, including cellobiose. In larvae of longhorned beetles that feed on plants rich in carbohydrates (cellulose and hemicellulose) and lignin, Rhodanobacter can help the larvae digest more carbon nutrients through carbon sequestration	10.1038/s41598-023-49885-6	The symbiont produces cellulolytic enzymes that hydrolyze cellulose and related polysaccharides, enabling the breakdown of plant fibers and facilitating host utilization of plant-derived carbohydrates.	Cellulose hydrolysis refers to the enzymatic decomposition of cellulose, the primary structural polysaccharide in plant cell walls, into simpler sugars such as cellobiose and glucose. Symbionts capable of this function often co-produce hemicellulases or xylanases for coordinated lignocellulose degradation. This microbial contribution is essential for herbivorous and xylophagous insects, improving the digestibility of plant material, enhancing energy extraction, and supporting the host’s adaptation to cellulose-rich diets. It also plays a key role in carbon cycling within the insect–microbe ecosystem.
xylan hydrolysis	plant biomass digestion	Nutrition	17	RISB2461	Serratia liquefaciens	able to utilize three polysaccharides including CMcellulose, xylan and pectin	10.1673/031.010.10701	The symbiont produces xylan-degrading enzymes (xylanases, xylosidases, and related esterases) that hydrolyze hemicellulose components, enabling the breakdown of xylan into simple sugars and enhancing host digestion of plant biomass.	Xylan hydrolysis refers to the microbial enzymatic process that targets hemicellulose—the second most abundant polysaccharide in plant cell walls—by cleaving β-1,4-linked xylose residues and associated side chains (e.g., arabinose, glucuronic acid, ferulic acid). Symbionts possessing xylanase or bifunctional xylanase–ferulic acid esterase activity contribute to the efficient degradation of plant structural polysaccharides, complementing cellulose and pectin hydrolysis. This function provides metabolizable carbohydrates, supports herbivorous and xylophagous insects in utilizing lignocellulosic diets, and plays an essential role in lignocellulose bioconversion within insect gut ecosystems.
carbohydrates enzymes	carbohydrate metabolism	Nutrition	3	RISB0131	Lactococcus lactis	The intestinal microbiota structure was significantly influenced by the probiotic treatment while still maintaining a stable core dominant community of Enterobacteriacea. The  colony with these microbiome had the most improved potential functions in terms of gut microbes as well as the carbohydrates active enzymes most improved potential functions.	10.1038/s41598-023-50679-z	The symbiont contributes to host carbohydrate metabolism by producing carbohydrate-active enzymes (CAZymes) that degrade, modify, or synthesize complex polysaccharides, facilitating nutrient assimilation and energy production.	Carbohydrate-active enzymes (CAZymes) include diverse functional groups such as glycoside hydrolases, polysaccharide lyases, carbohydrate esterases, and glycosyltransferases. These enzymes enable the breakdown of complex carbohydrates (e.g., cellulose, hemicellulose, starch, chitin) into simpler sugars that can be metabolized by the host or microbiota. Symbiont-derived CAZymes enhance digestive capacity, regulate gut microbial community function, and often coevolve with dietary specialization. Probiotic or symbiotic modulation of these enzymes can reshape the gut microbiome’s metabolic potential, improving nutrient conversion efficiency and host physiological performance.
chitin degradation	None	Nutrition	7	RISB1232	Bacillus licheniformis	process termiticidal activity of chitinase enzyme from gut symbiont isolate	10.1016/j.bcab.2020.101548	The symbiont produces chitinolytic enzymes (chitinases and related hydrolases) that degrade chitin or chitin-derived polymers, facilitating nutrient acquisition, cuticle remodeling, or defense regulation in the host.	Chitin degradation involves the enzymatic hydrolysis of β-1,4-linked N-acetylglucosamine polymers that compose arthropod cuticles, fungal cell walls, or insect eggshells. Symbiont-derived chitinases may assist herbivorous or omnivorous insects in digesting chitin-containing food sources (e.g., fungal material, insect prey, or waxy plant coatings), recycle nitrogen through chitin catabolism, or modulate host molting and cuticle formation. Additionally, these enzymes can contribute to immune defense by degrading fungal pathogens or structural barriers, thereby linking nutritional and protective symbiotic functions.
protein degradation	None	Nutrition	14	RISB1433	Serratia symbiotica	enzymes from S. symbiotica may facilitate the digestion of plant proteins, thereby helping to suppress plant defense	10.3389/fphys.2019.00438	The symbiont produces proteolytic enzymes (such as serine proteases, cysteine proteases, or aminopeptidases) that hydrolyze host, dietary, or pathogen-derived proteins, thereby contributing to digestion, metabolism, immune defense, or ecological adaptation.	Protein degradation encompasses a broad range of symbiont-mediated proteolytic processes. In nutritional contexts, symbiont-derived proteases facilitate the digestion of dietary proteins—including plant or fungal proteins and keratin—enhancing amino acid availability and nutrient absorption. In metabolic or defensive contexts, proteolytic enzymes participate in cellular recycling, immune regulation, or the degradation of pathogen structural proteins (e.g., viral envelope degradation in antiviral defense). These enzymes also play roles in modulating host physiology, such as reproductive tissue remodeling or immune priming through controlled proteolysis.
lipase	plant biomass digestion	Nutrition	9	RISB1489	Bacillus pumilus SW41	process a lipase gene and antiviral activity of its protein against B. mori nucleopolyhedrovirus (BmNPV)	10.1093/jisesa/iey111	The symbiont produces lipolytic enzymes (lipases or esterases) that catalyze the hydrolysis of lipids into fatty acids and glycerol, thereby contributing to host lipid metabolism, nutrient assimilation, and in some cases antiviral or immune functions.	Lipases are key enzymes involved in lipid degradation and remodeling. In nutritional contexts, symbiont-derived lipases enhance the digestion and absorption of dietary fats, improving host energy metabolism and nutrient availability. They may also participate in the breakdown of complex lipids, waxes, or fatty acid esters in plant- or animal-derived food sources. Beyond metabolic roles, some symbiont lipases exhibit antimicrobial or antiviral activity, for example by degrading viral envelope lipids or regulating lipid-mediated immune signaling pathways. Thus, lipase activity represents a versatile symbiotic function bridging metabolism, immunity, and ecological adaptation.
pectin hydrolysis	plant biomass digestion	Nutrition	9	RISB1694	Enterobacter sp.	activity of cellulose and hemicellulose, degrade CMC, xylan, and pectin	10.3389/fmicb.2017.00663	The symbiont produces pectinolytic enzymes (such as pectinases, polygalacturonases, or pectate lyases) that hydrolyze pectin and related polysaccharides in plant cell walls, aiding the host in digesting plant tissues and accessing nutrients.	Pectin hydrolysis refers to the enzymatic breakdown of pectin—a complex heteropolysaccharide rich in galacturonic acid that forms the middle lamella and primary cell wall of plants. Symbiont-derived pectinases degrade pectic substances into simpler oligosaccharides and monosaccharides, facilitating host feeding on plant sap, parenchyma, or xylem/phloem tissues. This process enhances plant tissue penetration, nutrient extraction, and energy acquisition. It often occurs in combination with other plant cell wall-degrading activities such as cellulose and xylan hydrolysis, forming a cooperative enzyme network for efficient lignocellulose decomposition.
carbohydrate metabolism	None	Nutrition	62	RISB0174	Bifidobacterium asteroides	Bifidobacterium provides complementary demethylation service to promote Gilliamella growth on methylated homogalacturonan, an enriched polysaccharide of pectin. In exchange, Gilliamella shares digestive products with Bifidobacterium, through which a positive interaction is established	10.1038/s41467-024-51365-y	The symbiont contributes to the breakdown, transformation, or utilization of carbohydrates—including polysaccharides, oligosaccharides, and monosaccharides—thereby supporting host nutrition, energy metabolism, and metabolic homeostasis.	Carbohydrate metabolism encompasses symbiont-mediated enzymatic processes that degrade plant- or microbe-derived carbohydrates into absorbable sugars, as well as their subsequent fermentation or conversion into metabolic intermediates. Typical activities include the production of amylases, glycoside hydrolases, and transporters for carbohydrate uptake, and the biosynthesis of short-chain fatty acids from carbohydrate substrates.
male killing	None	Physiology	34	RISB0263	Wolbachia	To achieve Male killing (MK), Wolbachia impaired the host dosage compensation system and triggered abnormal apoptosis in male embryos.Also, disrupted the sex-determination cascade of males by inducing female-type splice variants of doublesex (dsx), a downstream regulator of the sex-determining gene cascade.	10.1128/aem.02095-22	The symbiont manipulates host reproduction by selectively killing male embryos, typically during early development, resulting in female-biased sex ratios that enhance the symbiont’s vertical transmission through maternal lineages.	Male-killing symbionts (e.g., Spiroplasma, Wolbachia, Rickettsia) induce male embryo death via apoptosis, disruption of dosage compensation, or interference with male sex-determining pathways such as doublesex (dsx) regulation. This manipulation favors symbiont propagation because only females transmit the infection to offspring. Male killing can vary in completeness (full or partial) and may affect host population dynamics, mating behavior, and speciation processes.
feminization	None	Physiology	8	RISB2547	Wolbachia	the butterfly Eurema hecabe is infected with two different strains (wHecCI2 and wHecFem2) of the bacterial endosymbiont Wolbachia, genetic males are transformed into functional females, resulting in production of all-female broods.	10.1128/AEM.00145-07	The symbiont alters the host’s sex determination pathway to convert genetic males into functional females or intersex individuals, producing female-biased progeny and facilitating maternal transmission.	Feminizing symbionts (commonly Wolbachia or Cardinium) interfere with host sex-determining gene cascades—often by modifying the expression or splicing of doublesex (dsx) or related regulatory genes—leading to phenotypic feminization. The result is that genetic males develop female reproductive organs and can reproduce as females, thereby increasing symbiont transmission opportunities. Complete feminization yields all-female broods; partial feminization can generate intersex individuals or alter reproductive behavior.
parthenogenesis	None	Physiology	14	RISB2592	Encarsia bacterium	associated with thelytokous parthenogenetic reproduction in Encarsia, a genus of parasitoid wasps	10.1073/pnas.221467498	The symbiont induces parthenogenetic reproduction, allowing infected females to produce offspring (usually females) from unfertilized eggs without mating.	Parthenogenesis-inducing symbionts (notably Wolbachia, Cardinium, Rickettsia) manipulate host meiosis or egg activation so that haploid eggs develop as diploid embryos. This thelytokous (female-only) reproduction ensures continual symbiont inheritance through maternal lines and can lead to the loss of males and sexual reproduction in the host population. Mechanistically, symbionts may suppress chromosome reduction or induce gamete fusion to restore diploidy. In parasitoid wasps and other arthropods, this manipulation enhances colonization success and reproductive isolation.
cytoplasmic incompatibility	None	Physiology	42	RISB1408	Wolbachia	Wolbachia is the only known reproductive symbiont present in these morphotypes. Wolbachia reduced the ability for embryonic development in crosses involving cured females and infected males within each morphotype (uni-directional CI).	10.1038/s41598-019-54704-y	The symbiont induces reproductive incompatibility between infected males and uninfected (or differently infected) females, leading to embryo mortality unless both parents share compatible symbiont strains.	Cytoplasmic incompatibility (CI) is the most widespread form of symbiont-induced reproductive manipulation, particularly known in Wolbachia and Cardinium. It results from symbiont-modulated modifications to paternal chromosomes during spermatogenesis that prevent normal zygote development unless the maternal symbiont “rescues” the defect. CI increases the relative reproductive success of infected females, promoting symbiont spread through host populations. It can occur as unidirectional CI (between infected and uninfected individuals) or bidirectional CI (between hosts carrying different symbiont strains).
fertility	None	Physiology	78	RISB0007	Exiguobacterium sp.	prompted oviposition by flies; The flies' oviposition decisions appear to be guided by bacteria-derived semiochemicals as the bacteria	10.1093/jisesa/ieae040	The symbiont influences host fecundity, reproductive output, or gametogenesis—either enhancing or reducing fertility—through nutritional, hormonal, or molecular regulation.	Fertility-associated symbionts modulate reproductive physiology by affecting ovarian development, egg maturation, and reproductive protein synthesis (e.g., hexamerin, vitellogenin). Symbionts may enhance fecundity via improved nutrient provisioning, hormone regulation (such as Kr-h1 expression), or metabolic support. Conversely, some infections reduce fertility by disrupting energy metabolism, reproductive organ function, or gamete viability. This function encompasses both mutualistic enhancement and parasitic suppression of host reproduction.
growth regulation	None	Physiology	115	RISB0276	Caballeronia insecticola	Gut symbiont resulted in increase in the body size and weight of male adults;increased dispersal capacity of male adults especially for flight	10.1016/j.aspen.2023.102085	The symbiont influences the host’s growth performance—such as body size, growth rate, survival, and overall physiological condition—by modulating nutrient availability, metabolism, or physiological homeostasis.	Growth regulation describes the symbiont’s effect on quantitative traits of host growth and vitality. It includes accelerated or delayed growth rates, increased body mass, higher survival probability, or changes in life span. These effects are usually linked to improved nutrient absorption, metabolic optimization, immune homeostasis, or hormonal regulation (e.g., juvenile hormone pathways). Growth regulation primarily concerns growth efficiency and general fitness outcomes, not structural or morphological alterations. For example, symbiont-enhanced nutrient metabolism or pathogen resistance can result in faster development and greater adult size without necessarily changing developmental timing or morphology.
developmental modulation	None	Physiology	66	RISB0402	Burkholderia insecticola	symbiont colonization induces the development of the midgut crypts via finely regulating the enterocyte cell cycles, enabling it to stably and abundantly colonize the generated spacious crypts of the bean bug host	10.3389/fphys.2022.1071987	The symbiont alters the host’s developmental processes, timing, or morphology—such as diapause induction, metamorphosis progression, or organ formation—by influencing hormonal signaling, gene expression, or morphogenetic pathways.	Developmental modulation refers to qualitative changes in the developmental program rather than overall growth rate. This includes effects on molting, pupation, wing formation, diapause, sexual differentiation, or morphological abnormalities. Symbionts may influence endocrine signaling (e.g., juvenile hormone, ecdysteroid levels), developmental gene networks, or structural protein synthesis.
other	None	Other	145	RISB0184	Acetobacter	enhancing the brain levels of tyrosine decarboxylase 2 (Tdc2), which is an enzyme that synthesizes octopamine (OA)	10.1111/1744-7917.13370	The symbiont exerts biological, ecological, or molecular effects on the host or its environment that cannot yet be classified into established functional categories. This tag encompasses uncharacterized or multifunctional interactions affecting host physiology, microbial community structure, metabolism, or ecological behavior.	None
immune priming	None	Other	37	RISB1543	Enterobacter ludwigii	two immunity-related genes glucose oxidase (GOX) and lysozyme (LYZ) were more highly expressed in both salivary glands and midguts compared with MgCl2 solution-treated caterpillars	10.1007/s10886-018-0970-0	The symbiont modulates the host’s immune system—by stimulating, suppressing, or reprogramming immune pathways—to enhance, dampen, or stabilize immune responses against subsequent infections or physiological stress.	Immune priming refers to symbiont-mediated regulation of host immunity that alters immune readiness, tolerance, or memory. It may involve the upregulation of immune effectors such as defensins, lysozymes, phenoloxidase, or reactive oxygen species to enhance defense; or the downregulation of specific immune genes to promote immune tolerance and maintain mutualistic coexistence. In some cases, this regulation persists across generations through epigenetic mechanisms, forming trans-generational immune priming. By reshaping immune signaling, oxidative balance, and stress-response pathways, immune priming enables hosts to achieve improved protection, physiological stability, or symbiont compatibility without necessarily directly targeting pathogens.
pathogen interaction	None	Other	6	RISB2588	Sodalis glossinidius	maintains and expresses inv/spa genes encoding a type III secretion system homologous to that used for invasion by bacterial pathogens	10.1073/pnas.182213299	The symbiont interacts with pathogenic organisms or host defense systems, influencing infection processes, pathogen transmission, or host susceptibility without necessarily conferring resistance or immunity.	Pathogen interaction encompasses a range of direct or indirect associations between symbionts, pathogens, and hosts, where the symbiont may either inhibit or promote infection. These interactions include facilitating pathogen invasion or virulence (e.g., through secretion systems, metabolic cooperation, or immune suppression), competing with pathogens for niches or resources, or modifying host behaviors and physiological responses that affect pathogen transmission. Such relationships can occur between bacterial symbionts and fungi, viruses, or parasitoids and may determine the outcome of host–pathogen dynamics, from enhanced resistance to increased vulnerability or pathogen persistence within the host ecosystem.
probiotic	None	Other	6	RISB0336	Enterococcus faecalis	can be utilized as a novel probiotic which increase the survival rate of insects	10.1371/journal.pone.0281121	The symbiont functions as a naturally beneficial or artificially applicable probiotic microorganism that enhances host health, growth, or survival by stabilizing gut microbiota, improving metabolism, or strengthening physiological and immune functions.	Probiotic symbionts exert beneficial effects on insect hosts through the regulation of gut microbial homeostasis, promotion of nutrient assimilation, and enhancement of immune or physiological performance. They can increase host survival, growth rate, and rearing efficiency, and may produce metabolites that support digestion, stress tolerance, or disease resistance. Importantly, some symbionts with these properties can be isolated, cultured, and applied as artificial probiotics in insect farming, biological control, or environmental management, serving as microbial agents that improve host vitality, productivity, and ecological resilience.
learning and memory capacity	None	Other	6	RISB0102	Gilliamella apicola	Gilliamella apicola carries the gene for the desaturase FADS2, which is able to metabolize polyunsaturated fatty acids from pollen and synthesize endocannabinoid, a lipogenic neuroactive substance, thereby modulating reward learning and memory in honeybees.	10.1016/j.chom.2024.09.013	The symbiont influences the host’s neural activity or cognitive processes, thereby modulating learning ability, memory formation, retention, or behavioral plasticity.	Learning and memory capacity refers to the symbiont-mediated regulation of host neural and behavioral performance through metabolic, neurochemical, or molecular mechanisms. Symbionts may enhance or impair associative learning, memory retention, or sensory-based learning by altering neurotransmitter synthesis, lipid and endocannabinoid metabolism, or the expression of neuroactive genes. These effects can reshape host behavior, such as reward perception, foraging efficiency, or dispersal decisions, reflecting a neurophysiological dimension of symbiosis that links microbial metabolism with insect cognition and adaptive behavior.
